Name,ID,Created,"Service Level",Framework,Owner
mctb-symposium,c833d8bd-b12d-4313-9523-30ea970c4bc3,"2017-02-21 22:51:35",basic,wordpress,6c58a523-94d7-4354-9f7b-1204d45173a0
ssebe-fsdt,c948af7e-7f0f-4c1b-939a-42ef78017b78,"2016-08-22 15:16:41",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
sun-devil-racing-development,c9ee4c74-2c52-4bf4-b621-bc34894066b0,"2016-12-13 17:59:39",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
asu-industrial-assessment-center,cc269e45-3c47-41b2-b7ee-90d81c145f1e,"2016-10-21 20:21:04",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
progressive-learning-platform,d2fcbb6b-c522-4d5c-ada9-897f59603da8,"2017-05-19 17:19:48",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
stabenfeldt-lab,d321a117-8cff-4d61-a2f5-2049473511b9,"2017-08-16 01:04:37",basic,wordpress,6c58a523-94d7-4354-9f7b-1204d45173a0
plaisierlab,e706771d-0c4c-4b5b-bc24-474bbe72ef48,"2017-09-07 14:57:23",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
semte,e74b77cb-e544-4c64-a881-f5530ea84f12,"2016-10-19 19:30:48",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
rossum,e8fcfd3e-49a2-45d7-bb34-0578868f3820,"2017-08-24 01:15:56",basic,wordpress,6c58a523-94d7-4354-9f7b-1204d45173a0
ecee,f16b95dd-df77-43ed-83db-8be6ff7deb12,"2017-06-01 18:16:52",free,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
lab-anamitra-pal,f3ff3bd0-aba6-4ddb-b953-5a1e872f87ab,"2017-05-25 12:19:29",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
fac-azeredo,f527e6f9-21e1-4a81-b6dc-3f316a90fd70,"2017-01-25 21:09:26",basic,wordpress,0720d47c-72e5-4e46-9f35-7f3d62c84d7c
asce,fe1e5b94-0a86-45e8-8c8d-fece73e78dcb,"2017-02-22 13:36:14",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
mascaro,009d733e-41a3-4268-90f7-1acf1ef2ef49,"2016-09-02 12:28:17",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
includes,048add40-760a-4414-a12f-5848ee707569,"2017-10-29 17:53:50",basic,wordpress,6c58a523-94d7-4354-9f7b-1204d45173a0
allee-group,05854b39-c68f-4bbc-8dd4-672d965c0593,"2017-05-16 14:06:59",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
angelia,075b0314-5d5c-4b4a-98a3-d45340bf931f,"2016-09-27 16:42:53",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
sarma-iot,07e3e9fb-7345-4e17-91e5-e7ffe0742ff1,"2017-06-01 18:17:49",basic,wordpress,6c58a523-94d7-4354-9f7b-1204d45173a0
nasa-uli,0c23483e-8622-42b6-ad75-a6c8f1316381,"2017-06-14 19:08:37",basic,wordpress,6c58a523-94d7-4354-9f7b-1204d45173a0
fac-ruben-acuna,0e8cf75e-da10-4193-8e76-c20bdd49ee0b,"2016-08-02 22:47:50",basic,wordpress,d92ed348-3759-4be2-8c72-287fc9d83636
blockchain-research,0f9fbbce-134f-4caf-9ad0-b656a36c4666,"2017-11-14 18:35:51",basic,wordpress,6c58a523-94d7-4354-9f7b-1204d45173a0
young-engineers,16a3ab8f-b567-48b5-89c0-e3f89a39c756,"2016-10-19 12:10:38",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
air-devils,17ce672a-d84b-4fad-ae78-9c162d6efb97,"2017-03-16 17:20:43",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
society-women-engineers,17edd5b7-014a-4f1d-ae35-a30c8a227762,"2017-08-23 23:53:16",basic,wordpress,d92ed348-3759-4be2-8c72-287fc9d83636
divi-help-site,1a020101-b79b-4e98-b170-3784bd3cc048,"2016-10-17 15:12:41",free,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
ewb,1d89ee5d-be09-49f3-873e-c5b288e41895,"2017-02-22 13:55:53",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
poly-computer-science-club,1e8cb389-1579-4aba-9e76-91baa28eedc7,"2017-09-07 23:59:19",basic,wordpress,d92ed348-3759-4be2-8c72-287fc9d83636
ieee,20b64ddf-ec6d-4d18-a148-156a61ac0482,"2017-02-08 14:50:36",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
bmes,2629d9ab-29fe-4a0a-8137-7908a86e5263,"2017-03-01 17:04:09",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
hkn,2789231d-15e3-452a-bab2-5a3d27d8044a,"2017-04-20 15:52:31",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
web-help,2ba391c3-197b-43ab-b117-43ba3add5952,"2016-11-11 19:21:40",free,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
entrepreneurship,2e801533-e49a-4415-8ec6-d5efe324e6c5,"2017-03-06 06:56:08",basic,wordpress,6c58a523-94d7-4354-9f7b-1204d45173a0
wics,38b256d1-6444-40b2-8f3a-08ceaed47514,"2017-05-09 16:33:35",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
robotics-research,4058b730-83a7-4476-86ec-b5cecf45aa4b,"2016-07-04 03:48:10",free,wordpress,6c58a523-94d7-4354-9f7b-1204d45173a0
ecee-fsdt,428b96e1-3f1d-42f3-9229-7c882ec8c4b6,"2017-06-05 12:35:54",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
fulton-outreach,454d35c6-ac79-4c83-8145-9c26186cfb15,"2016-12-14 13:05:02",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
fac-yezhou-yang,45f11dbe-4b3d-4d42-af7b-3fc0b54e1c24,"2016-08-13 00:03:47",basic,wordpress,d92ed348-3759-4be2-8c72-287fc9d83636
ls2016,4a8cb5fa-b522-4780-a855-7604ea2749a9,"2016-09-26 15:19:17",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
mav,4bbf2ced-17bb-4391-8be4-fb0f3a3083e6,"2017-02-22 15:13:05",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
sdsl,4ce8b251-5ed4-434f-a8cb-80c50a1f7a1a,"2017-02-08 15:09:55",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
lab-aims,4d3dcf16-5398-4317-8c56-7f31a23a17ae,"2017-02-10 22:48:19",basic,wordpress,d92ed348-3759-4be2-8c72-287fc9d83636
lab-xlab,4e2662f6-54d8-454a-b810-9c121498c7e1,"2017-02-15 20:29:52",free,wordpress,0720d47c-72e5-4e46-9f35-7f3d62c84d7c
maes,4e96e674-abe5-484f-8ab8-ad9adb55b1f0,"2017-09-13 12:13:19",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
sase,559a20e7-ff9a-4911-94a8-c6c030874bfd,"2017-03-06 22:34:00",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
sustainable-engineering,5d8ba4f8-bf26-417f-bb09-7ef60ce14144,"2016-09-19 16:46:53",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
fac-yan-chen,60cec665-430c-4302-a2b7-1dcf48d11d81,"2016-09-15 18:03:49",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
awic,637a10e8-f95b-40df-a25f-04ccf0aa81bf,"2017-02-22 13:34:25",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
sbhse-fsdt,638880c7-c441-4f01-a211-f086aa95bcb0,"2017-03-09 02:06:00",basic,wordpress,6c58a523-94d7-4354-9f7b-1204d45173a0
sun-devil-robotics,6563f6bc-5c25-42a7-ade9-297ccc019c36,"2017-02-15 20:40:17",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
nannenga,6ac55e00-2861-4a2f-bb63-eb5e9e92678d,"2017-10-30 14:20:11",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
engineering-technical-services,6b0a5f57-028a-407d-bd1c-82a1a3a85515,"2017-04-04 11:47:56",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
lab-hildreth,6e996e96-1cb5-4c10-bf8b-16bd73912aa8,"2016-09-30 12:41:07",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
fac-javier-gonzalez-sanchez,73a78262-cb59-421e-8ade-ca7dae0678dc,"2016-09-09 21:52:09",basic,wordpress,d92ed348-3759-4be2-8c72-287fc9d83636
faculty-kitchen,76d4c644-b439-4765-9d57-a2175aad4eb2,"2017-10-02 22:15:17",basic,wordpress,6c58a523-94d7-4354-9f7b-1204d45173a0
sops,7a32aa90-2d92-453a-a4fd-56bb86f31113,"2016-10-21 20:04:01",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
lw2017,7c7ab1c9-0102-4db9-b9da-7f847c8ce873,"2016-09-26 18:21:04",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
fulton-student-council,7d4133bd-99c5-4fb6-9671-69943c836869,"2017-03-06 22:05:49",basic,wordpress,1b7ec685-c17d-4bc3-bb18-cae9fa75e0eb
